st,stf
MO,29
IL,17
OH,39
AR,5
MO,29
IL,17
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
MS,28
MS,28
TX,48
AR,5
LA,22
LA,22
LA,22
AR,5
LA,22
TN,47
TN,47
OK,40
MS,28
FL,12
LA,22
LA,22
LA,22
AR,5
AR,5
AR,5
AR,5
AR,5
OK,40
MS,28
LA,22
MS,28
MS,28
MS,28
LA,22
MS,28
MS,28
TN,47
IL,17
AR,5
OK,40
AR,5
OK,40
AL,1
AL,1
LA,22
SC,45
OK,40
KS,20
TX,48
OK,40
OK,40
MS,28
TX,48
LA,22
MS,28
MS,28
LA,22
LA,22
LA,22
LA,22
LA,22
LA,22
KS,20
TX,48
IA,19
OK,40
OK,40
OK,40
KS,20
KS,20
OK,40
OK,40
OK,40
SD,46
FL,12
KS,20
KS,20
IA,19
KS,20
KS,20
KS,20
NE,31
KS,20
OK,40
WY,56
OK,40
NC,37
NC,37
NC,37
LA,22
TX,48
NC,37
NC,37
TX,48
FL,12
FL,12
KS,20
OK,40
NE,31
KS,20
KS,20
KS,20
OK,40
KS,20
KS,20
KS,20
OK,40
TX,48
OK,40
TX,48
LA,22
LA,22
GA,13
NC,37
MS,28
GA,13
GA,13
TX,48
TX,48
WY,56
GA,13
KS,20
MO,29
OK,40
IL,17
ND,38
NE,31
WY,56
ND,38
MO,29
MN,27
IA,19
KS,20
TX,48
NE,31
KS,20
WI,55
WI,55
WI,55
WI,55
KS,20
WI,55
KS,20
KS,20
IA,19
KS,20
IN,18
PA,42
PA,42
KS,20
NM,35
CT,9
CT,9
NE,31
IL,17
KS,20
IN,18
OH,39
OH,39
MO,29
IN,18
CO,8
PA,42
NC,37
NC,37
NM,35
CO,8
KS,20
KS,20
KS,20
MO,29
WV,54
MD,24
AR,5
KS,20
PA,42
FL,12
FL,12
OK,40
OK,40
NE,31
OK,40
NC,37
PA,42
KY,21
KY,21
MS,28
IL,17
IL,17
AR,5
IL,17
LA,22
CA,6
VA,51
LA,22
LA,22
OK,40
OK,40
AR,5
MS,28
MS,28
AL,1
KY,21
KS,20
KS,20
FL,12
TX,48
IN,18
PA,42
OK,40
OK,40
OK,40
TX,48
KS,20
MS,28
LA,22
LA,22
MS,28
OK,40
OK,40
OK,40
KS,20
KS,20
KS,20
OK,40
KS,20
OK,40
OH,39
NJ,34
KS,20
NE,31
OK,40
OK,40
OK,40
KS,20
KS,20
KS,20
MI,26
KS,20
KS,20
TX,48
OK,40
OK,40
KS,20
PA,42
VA,51
NE,31
KS,20
KS,20
OK,40
OK,40
KS,20
KS,20
TX,48
OK,40
CO,8
TX,48
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
CO,8
CO,8
CO,8
KS,20
KS,20
KS,20
KS,20
KS,20
GA,13
GA,13
TX,48
KS,20
KS,20
KS,20
MO,29
FL,12
FL,12
NE,31
NE,31
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
TX,48
KS,20
MI,26
KS,20
IA,19
NM,35
OK,40
CO,8
KS,20
KS,20
TX,48
TX,48
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
TX,48
TX,48
TX,48
OK,40
KS,20
OK,40
OK,40
OK,40
OK,40
AL,1
KS,20
KS,20
MO,29
OK,40
OK,40
OK,40
MS,28
NC,37
VA,51
NC,37
ND,38
CO,8
KS,20
TX,48
TX,48
KS,20
KS,20
KS,20
KS,20
CO,8
IA,19
MN,27
NE,31
KS,20
WI,55
KS,20
KS,20
OK,40
KS,20
OK,40
IN,18
KS,20
KS,20
OH,39
KS,20
KS,20
SC,45
MN,27
NE,31
IA,19
CO,8
WV,54
MI,26
KS,20
KS,20
OH,39
VA,51
IL,17
IL,17
PA,42
TX,48
WI,55
MO,29
KS,20
NC,37
NE,31
KS,20
SD,46
MO,29
IN,18
MO,29
NE,31
OK,40
OK,40
OK,40
IA,19
SD,46
MN,27
PA,42
MI,26
KS,20
FL,12
OK,40
KS,20
KS,20
KS,20
NE,31
NC,37
OK,40
NM,35
KS,20
KS,20
KS,20
ND,38
MI,26
MI,26
MI,26
CT,9
MA,25
NH,33
CT,9
CT,9
LA,22
KS,20
KS,20
KS,20
IA,19
OK,40
KS,20
KS,20
LA,22
MS,28
OK,40
WI,55
KS,20
WI,55
WI,55
MI,26
LA,22
OK,40
AR,5
VA,51
LA,22
IL,17
MO,29
IL,17
IN,18
KY,21
TN,47
AL,1
AL,1
AL,1
GA,13
FL,12
OR,41
IL,17
MS,28
FL,12
MA,25
FL,12
FL,12
FL,12
MS,28
PA,42
GA,13
AL,1
AR,5
AR,5
GA,13
FL,12
GA,13
GA,13
FL,12
GA,13
GA,13
TX,48
LA,22
AR,5
TN,47
MO,29
MS,28
TN,47
AL,1
AL,1
TN,47
AL,1
MS,28
TN,47
MS,28
TN,47
TN,47
LA,22
FL,12
FL,12
TN,47
TN,47
TN,47
AL,1
TN,47
GA,13
GA,13
GA,13
TX,48
AR,5
AL,1
GA,13
LA,22
GA,13
TX,48
TX,48
MO,29
IL,17
IL,17
MO,29
AR,5
AR,5
AR,5
AR,5
AR,5
AR,5
AR,5
AR,5
AR,5
AR,5
AR,5
TN,47
AR,5
AR,5
AR,5
AR,5
MO,29
TN,47
TN,47
MS,28
MS,28
TN,47
TN,47
TN,47
TN,47
TN,47
TN,47
KY,21
TN,47
TN,47
AL,1
TX,48
LA,22
LA,22
LA,22
LA,22
AL,1
FL,12
NC,37
VA,51
VA,51
MD,24
PA,42
PA,42
MD,24
MD,24
PA,42
NJ,34
KS,20
OK,40
OH,39
TX,48
OK,40
OK,40
OK,40
OK,40
TX,48
OK,40
KS,20
AR,5
AR,5
LA,22
KS,20
NE,31
OK,40
TX,48
KS,20
KS,20
NY,36
MO,29
WY,56
CO,8
NE,31
IN,18
AL,1
AL,1
AL,1
NC,37
SC,45
GA,13
NE,31
CO,8
LA,22
NC,37
KS,20
KS,20
KS,20
MO,29
OK,40
OK,40
OK,40
OK,40
OK,40
TX,48
IA,19
FL,12
TX,48
IA,19
OH,39
IL,17
NE,31
FL,12
OK,40
IA,19
OK,40
AR,5
TX,48
ND,38
ND,38
SC,45
FL,12
OK,40
ND,38
